gene	neg.1	neg.2	day1.1	day1.2
GE_BrightCorner	139000	148000	98500	146000
DarkCorner	7.18	2.64	6.61	2.64
DarkCorner	7.28	2.66	6.75	2.66
DarkCorner	7.36	2.68	6.88	2.68
DarkCorner	7.42	2.7	6.99	2.7
DarkCorner	7.47	2.71	7.08	2.72
DarkCorner	7.5	2.73	7.16	2.73
DarkCorner	7.51	2.74	7.23	2.75
DarkCorner	7.51	2.76	7.28	2.76
DarkCorner	7.5	2.77	7.31	2.77
DarkCorner	7.47	2.78	7.34	2.78
NM_004900	8.74	12.3	15	14.8
AA085955	13.3	23.4	20.7	19
NM_014616	195	573	443	836
AK092846	10.1	28.9	22.1	25.3
NM_001539	8390	20500	8050	19000
THC2450799	7.06	12.9	7.27	5.82
NM_006709	605	1140	443	939
NM_000978	10000	33700	12200	28200
T12590	6.75	9.89	10.8	10
A_24_P704878	6.63	2.85	7.08	2.82
NM_001017	13800	36600	25300	29000
AK021474	11.3	30.1	26.2	27.9
NM_198527	618	1860	809	1110
NM_000311	6360	13000	12300	12800
AK091028	47.2	65	46.1	65.4
AK057596	300	441	465	605
A_24_P799245	5.78	2.88	6.65	2.83
AY358648	5.65	2.88	6.59	2.83
AK026647	4370	5600	3640	4300
NM_032445	26.5	40.2	34	34.9
NM_004886	104	174	159	191
NM_014478	395	280	260	172
BC060889	13.4	13.1	12.9	17.7
NM_016506	600	877	673	895
AY358224	4.83	2.91	6.2	2.83
NM_002332	14.6	15.2	25.4	36.4
NM_000368	1430	2140	1810	2120
AT_D_3	4.52	2.92	6.08	2.83
THC2264965	70	186	138	164
NM_000677	4.33	2.93	6.01	2.84
NM_005895	5970	6790	6570	7080
AA071045	12.3	12.9	8.43	14
NM_004932	4.07	2.94	5.95	2.84
NM_031462	6350	9180	8320	11300
AI287491	11.5	17.4	5.92	14.1
NM_173156	752	1010	674	746
AK097214	3.78	2.96	5.91	2.86
NM_080655	2690	4730	3640	4350
NM_018015	3.65	2.97	5.92	2.86
THC2287647	346	388	377	387
NM_014909	613	1040	1230	1750
NM_003131	173	246	151	159
AK094799	5.52	5.4	5.99	5.84
THC2423232	7.52	6.85	9.75	7.2
NM_020235	404	631	623	699
NM_003045	767	1430	945	1020
A_24_P52168	44.6	72.7	75.5	112
A_24_P530900	25.7	51.6	17.5	31.2
ENST00000296149	16.2	23.6	7.69	22.5
NM_145690	10700	21900	10400	20000
NM_006439	7.61	14	6.31	16.3
ENST00000299903	8.06	11.3	6.36	7.59
NM_004431	2560	4900	1470	4180
NM_177402	31.5	36.1	30.7	35
NM_014573	199	307	195	318
NM_021945	193	300	178	246
THC2440609	36.1	56.9	31.7	54.3
NM_003011	4210	5740	518	4000
AA512897	6.72	14.9	6.8	12.6
NM_001003845	121	206	260	395
NM_000619	3.02	3.05	6.93	2.9
CN479126	328	851	481	865
A_32_P156549	979	1780	1010	1110
DarkCorner	3.02	3.04	7.12	2.88
DarkCorner	3.02	3.04	7.18	2.87
DarkCorner	3.03	3.03	7.24	2.86
DarkCorner	3.04	3.02	7.29	2.84
DarkCorner	3.05	3.01	7.33	2.83
DarkCorner	3.06	3	7.37	2.81
DarkCorner	3.07	2.99	7.4	2.79
DarkCorner	3.09	2.97	7.42	2.77
DarkCorner	3.11	2.95	7.44	2.74
GE_BrightCorner	99600	158000	108000	144000
GE_BrightCorner	96900	159000	104000	141000
GE_BrightCorner	143000	146000	103000	145000
DarkCorner	7.21	2.66	6.71	2.66
DarkCorner	7.3	2.68	6.84	2.68
DarkCorner	7.37	2.69	6.96	2.7
DarkCorner	7.42	2.71	7.06	2.71
DarkCorner	7.46	2.73	7.14	2.73
DarkCorner	7.49	2.74	7.22	2.74
DarkCorner	7.49	2.75	7.27	2.76
DarkCorner	7.48	2.77	7.32	2.77
DarkCorner	7.46	2.78	7.35	2.78
NM_004968	1450	1430	1360	2120
NM_152703	7.38	6.59	39	85.7
AT_ssH_TR_5	178	289	104	187
NM_001002917	7.25	9.48	8.51	7.06
NM_032515	2980	6930	3090	6010
BG167701	7.09	7.63	7.3	8.42
NM_001029863	995	2090	669	1370
NM_001014445	2540	6570	2070	3270
NM_001033	5280	14400	10200	14700
AT_ssH_PC_3	268	557	946	914
NM_005339	2900	3580	2270	2680
AF264621	6.44	2.86	7.01	2.83
NM_024709	48.4	92	114	107
NM_002156	1190	4130	3030	2440
A_24_P50489	10400	28300	18900	22700
NM_144583	20.2	19.2	10.8	18.6
AK022865	5.83	5.05	6.69	4.65
NM_006177	63.6	112	96.1	128
NM_007371	1110	1980	1360	2060
NM_173827	6.14	14.1	6.5	8.8
NM_001018036	5.34	2.89	6.44	2.83
E1A_r60_3	5.22	2.9	6.38	2.83
NM_013936	5.11	2.9	6.33	2.83
NM_014045	80.8	111	122	128
NM_000951	23.1	32.6	24.5	31.3
NM_183002	15.7	30.7	24.8	20.2
NM_004004	23.1	43.7	27.6	40.5
AF035020	4.57	2.92	6.1	2.84
THC2438309	5.27	4.07	6.06	4.71
NM_178553	4.38	4.75	6.03	4.76
NM_139280	5140	5260	6220	6250
NM_024293	1360	1560	1920	2000
A_32_P10665	176	246	195	258
NM_022830	504	587	412	421
ENST00000343518	77.3	86.3	49.8	58.8
AK130741	4.43	5.35	5.92	9.03
NM_002639	3.81	2.96	5.91	2.86
NM_000049	3.75	2.97	5.91	2.87
NM_005603	12.9	28.2	10.5	25.4
ETG02_36680	3.62	2.98	5.93	2.87
NM_000773	3.57	2.98	5.94	2.88
A_24_P912617	3.51	4.35	5.96	3.61
NM_194259	16600	27200	19900	22700
NM_014597	7220	11300	8120	8120
NM_145028	27.5	27.4	36	30.3
E1A_r60_a97	5390	5860	6360	5590
AK024670	185	324	120	156
ENST00000371534	115	221	182	231
NM_000979	19200	37400	16500	30300
NM_001806	7070	12900	4440	8000
NM_003680	3060	5870	2410	3320
NM_152531	281	563	301	548
THC2313201	24.6	30.7	6.93	34.3
NM_002124	281	611	230	746
NM_145278	3.08	3.05	6.51	2.93
